ROI,Sequence,Approach,MD
Splenium,NowLteDetuned,QTI,0.78647935
Splenium,NowLteDetuned,QTI,0.78680986
Splenium,NowLteDetuned,QTI,0.8073735
Splenium,NowLteDetuned,QTI,0.8198708
Splenium,NowLteDetuned,QTI,0.81876206
Splenium,NowLteDetuned,QTI,0.8108427
Splenium,NowLteDetuned,QTI,0.7981278
Splenium,NowLteDetuned,QTI,0.9021437
Splenium,NowLteDetuned,QTI,0.9172617
Splenium,NowLteDetuned,QTI,0.91295266
Splenium,NowLteDetuned,QTI,0.84444773
Splenium,NowLteDetuned,QTI,0.8029309
Splenium,NowLteDetuned,QTI,0.7993092
Splenium,NowLteDetuned,QTI,0.81366104
Splenium,NowLteDetuned,QTI,0.8361605
Splenium,NowLteDetuned,QTI,0.81724054
Splenium,NowLteDetuned,QTI,0.77848107
Splenium,NowLteDetuned,QTI,0.77505577
Splenium,NowLteDetuned,QTI,0.7783725
Splenium,NowLteDetuned,QTI,0.8384385
Splenium,NowLteDetuned,QTI,0.89271104
Splenium,NowLteDetuned,QTI,0.89123094
Splenium,NowLteDetuned,QTI,0.8886749
Splenium,NowLteDetuned,QTI,0.8443602
Splenium,NowLteDetuned,QTI,0.79146206
Splenium,NowLteDetuned,QTI,0.7515778
Splenium,NowLteDetuned,QTI,0.7734742
Splenium,NowLteDetuned,QTI,0.8318724
Splenium,NowLteDetuned,QTI,0.80528706
Splenium,NowLteDetuned,QTI,0.74909633
Splenium,NowLteDetuned,QTI,0.7532723
Splenium,NowLteDetuned,QTI,0.76534045
Splenium,NowLteDetuned,QTI,0.80135125
Splenium,NowLteDetuned,QTI,0.8184724
Splenium,NowLteDetuned,QTI,0.85610497
Splenium,NowLteDetuned,QTI,0.8295901
Splenium,NowLteDetuned,QTI,0.84271884
Splenium,NowLteDetuned,QTI,0.8584335
Splenium,NowLteDetuned,QTI,0.8010514
Splenium,NowLteDetuned,QTI,0.71492976
Splenium,NowLteDetuned,QTI,0.7184698
Splenium,NowLteDetuned,QTI,0.7942147
Splenium,NowLteDetuned,QTI,0.7609981
Splenium,NowLteDetuned,QTI,0.6991936
Splenium,NowLteDetuned,QTI,0.70314294
Splenium,NowLteDetuned,QTI,0.7100321
Splenium,NowLteDetuned,QTI,0.77057254
Splenium,NowLteDetuned,QTI,0.9112225
Splenium,NowLteDetuned,QTI,0.9717019
Splenium,NowLteDetuned,QTI,0.896584
Splenium,NowLteDetuned,QTI,0.8092064
Splenium,NowLteDetuned,QTI,0.77959466
Splenium,NowLteDetuned,QTI,0.7156886
Splenium,NowLteDetuned,QTI,0.6591156
Splenium,NowLteDetuned,QTI,0.66691923
Splenium,NowLteDetuned,QTI,0.67462623
Splenium,NowLteDetuned,QTI,0.74624544
Splenium,NowLteDetuned,QTI,0.80920804
Splenium,NowLteDetuned,QTI,1.2359347
Splenium,NowLteDetuned,QTI,1.2213017
Splenium,NowLteDetuned,QTI,0.98751366
Splenium,NowLteDetuned,QTI,0.7779311
Splenium,NowLteDetuned,QTI,0.7024677
Splenium,NowLteDetuned,QTI,0.6588949
Splenium,NowLteDetuned,QTI,0.68344605
Splenium,NowLteDetuned,QTI,0.7031324
Splenium,NowLteDetuned,QTI,0.73935187
Splenium,NowLteDetuned,QTI,0.7788218
Splenium,NowLteDetuned,QTI,0.8141235
Splenium,NowLteDetuned,QTI,0.8402739
Splenium,NowLteDetuned,QTI,1.3468916
Splenium,NowLteDetuned,QTI,0.94169223
Splenium,NowLteDetuned,QTI,0.7531382
Splenium,NowLteDetuned,QTI,0.6455628
Splenium,NowLteDetuned,QTI,0.6743757
Splenium,NowLteDetuned,QTI,0.7044689
Splenium,NowLteDetuned,QTI,0.7273585
Splenium,NowLteDetuned,QTI,0.7562838
Splenium,NowLteDetuned,QTI,0.7989265
Splenium,NowLteDetuned,QTI,0.8318984
Splenium,NowLteDetuned,QTI,0.83781105
Splenium,NowLteDetuned,QTI,0.60075605
Splenium,NowLteDetuned,QTI,0.61246353
Splenium,NowLteDetuned,QTI,0.64779395
Splenium,NowLteDetuned,QTI,0.70944726
Splenium,NowLteDetuned,QTI,0.7593009
Splenium,NowLteDetuned,QTI,0.8029235
Splenium,NowLteDetuned,QTI,0.81745416
Splenium,NowLteDetuned,QTI,1.0192834
Splenium,NowLteDetuned,QTI,0.6359108
Splenium,NowLteDetuned,QTI,0.5994196
Splenium,NowLteDetuned,QTI,0.62186396
Splenium,NowLteDetuned,QTI,0.7002425
Splenium,NowLteDetuned,QTI,0.7623846
Splenium,NowLteDetuned,QTI,0.8084765
Splenium,NowLteDetuned,QTI,0.8010216
Splenium,NowLteDetuned,QTI,1.2588613
Splenium,NowLteDetuned,QTI,0.7583484
Splenium,NowLteDetuned,QTI,0.6488203
Splenium,NowLteDetuned,QTI,0.64116156
Splenium,NowLteDetuned,QTI,0.7061764
Splenium,NowLteDetuned,QTI,0.76401055
Splenium,NowLteDetuned,QTI,0.81539094
Splenium,NowLteDetuned,QTI,0.7870492
Splenium,NowLteDetuned,QTI,1.681563
Splenium,NowLteDetuned,QTI,1.1222422
Splenium,NowLteDetuned,QTI,0.808822
Splenium,NowLteDetuned,QTI,0.7103281
Splenium,NowLteDetuned,QTI,0.742125
Splenium,NowLteDetuned,QTI,0.7778471
