ROI,Sequence,Approach,OP
Splenium,NowLteDetuned,QTI,0.6444666
Splenium,NowLteDetuned,QTI,0.48325083
Splenium,NowLteDetuned,QTI,0.07792427
Splenium,NowLteDetuned,QTI,0.15390554
Splenium,NowLteDetuned,QTI,0.33654034
Splenium,NowLteDetuned,QTI,0.46680206
Splenium,NowLteDetuned,QTI,0.562705
Splenium,NowLteDetuned,QTI,0.63301325
Splenium,NowLteDetuned,QTI,0.682718
Splenium,NowLteDetuned,QTI,0.67755806
Splenium,NowLteDetuned,QTI,0.6413148
Splenium,NowLteDetuned,QTI,0.68084997
Splenium,NowLteDetuned,QTI,0.73341256
Splenium,NowLteDetuned,QTI,0.67765135
Splenium,NowLteDetuned,QTI,0.6108619
Splenium,NowLteDetuned,QTI,0.4706205
Splenium,NowLteDetuned,QTI,0.5284514
Splenium,NowLteDetuned,QTI,0.61634696
Splenium,NowLteDetuned,QTI,0.6510754
Splenium,NowLteDetuned,QTI,0.648179
Splenium,NowLteDetuned,QTI,0.6180034
Splenium,NowLteDetuned,QTI,0.64546764
Splenium,NowLteDetuned,QTI,0.6818363
Splenium,NowLteDetuned,QTI,0.6226039
Splenium,NowLteDetuned,QTI,0.5609302
Splenium,NowLteDetuned,QTI,0.44981223
Splenium,NowLteDetuned,QTI,0.35350597
Splenium,NowLteDetuned,QTI,0.5697607
Splenium,NowLteDetuned,QTI,0.5837614
Splenium,NowLteDetuned,QTI,0.60093284
Splenium,NowLteDetuned,QTI,0.60795856
Splenium,NowLteDetuned,QTI,0.60612214
Splenium,NowLteDetuned,QTI,0.6000591
Splenium,NowLteDetuned,QTI,0.534919
Splenium,NowLteDetuned,QTI,0.47342676
Splenium,NowLteDetuned,QTI,0.40191337
Splenium,NowLteDetuned,QTI,0.35031003
Splenium,NowLteDetuned,QTI,0.35241085
Splenium,NowLteDetuned,QTI,0.3314488
Splenium,NowLteDetuned,QTI,0.6090039
Splenium,NowLteDetuned,QTI,0.63547796
Splenium,NowLteDetuned,QTI,0.6000745
Splenium,NowLteDetuned,QTI,0.5577005
Splenium,NowLteDetuned,QTI,0.49274206
Splenium,NowLteDetuned,QTI,0.43091413
Splenium,NowLteDetuned,QTI,0.38113183
Splenium,NowLteDetuned,QTI,0.36228156
Splenium,NowLteDetuned,QTI,0.3957577
Splenium,NowLteDetuned,QTI,0.3816502
Splenium,NowLteDetuned,QTI,0.62002194
Splenium,NowLteDetuned,QTI,0.56566817
Splenium,NowLteDetuned,QTI,0.53096586
Splenium,NowLteDetuned,QTI,0.47967732
Splenium,NowLteDetuned,QTI,0.42571208
Splenium,NowLteDetuned,QTI,0.41394338
Splenium,NowLteDetuned,QTI,0.44823605
Splenium,NowLteDetuned,QTI,0.4556388
Splenium,NowLteDetuned,QTI,0.6030137
Splenium,NowLteDetuned,QTI,0.58412486
Splenium,NowLteDetuned,QTI,0.5612263
Splenium,NowLteDetuned,QTI,0.522342
Splenium,NowLteDetuned,QTI,0.47316247
Splenium,NowLteDetuned,QTI,0.47001016
Splenium,NowLteDetuned,QTI,0.50355214
Splenium,NowLteDetuned,QTI,0.53557444
Splenium,NowLteDetuned,QTI,0.58945245
Splenium,NowLteDetuned,QTI,0.6113899
Splenium,NowLteDetuned,QTI,0.57849866
Splenium,NowLteDetuned,QTI,0.5477747
Splenium,NowLteDetuned,QTI,0.52547544
Splenium,NowLteDetuned,QTI,0.53536594
Splenium,NowLteDetuned,QTI,0.5652785
Splenium,NowLteDetuned,QTI,0.5966426
Splenium,NowLteDetuned,QTI,0.54312813
Splenium,NowLteDetuned,QTI,0.60251737
Splenium,NowLteDetuned,QTI,0.592237
Splenium,NowLteDetuned,QTI,0.5760501
Splenium,NowLteDetuned,QTI,0.56906885
Splenium,NowLteDetuned,QTI,0.5933337
Splenium,NowLteDetuned,QTI,0.6312351
Splenium,NowLteDetuned,QTI,0.6731195
Splenium,NowLteDetuned,QTI,0.6306888
Splenium,NowLteDetuned,QTI,0.6104803
Splenium,NowLteDetuned,QTI,0.6118898
Splenium,NowLteDetuned,QTI,0.6096709
Splenium,NowLteDetuned,QTI,0.6573612
Splenium,NowLteDetuned,QTI,0.72362876
Splenium,NowLteDetuned,QTI,0.80060035
Splenium,NowLteDetuned,QTI,0.87188816
Splenium,NowLteDetuned,QTI,0.80630493
Splenium,NowLteDetuned,QTI,0.71441287
Splenium,NowLteDetuned,QTI,0.46968633
Splenium,NowLteDetuned,QTI,0.76558876
Splenium,NowLteDetuned,QTI,0.8603227
Splenium,NowLteDetuned,QTI,0.9496046
Splenium,NowLteDetuned,QTI,0.9278011
Splenium,NowLteDetuned,QTI,0.85843784
Splenium,NowLteDetuned,QTI,0.6214478
Splenium,NowLteDetuned,QTI,0.68957394
Splenium,NowLteDetuned,QTI,0.75281507
Splenium,NowLteDetuned,QTI,0.8205065
Splenium,NowLteDetuned,QTI,0.87952363
Splenium,NowLteDetuned,QTI,0.8679986
Splenium,NowLteDetuned,QTI,0.8478061
Splenium,NowLteDetuned,QTI,0.7853571
Splenium,NowLteDetuned,QTI,0.6259325
Splenium,NowLteDetuned,QTI,0.7034879
Splenium,NowLteDetuned,QTI,0.7735545
Splenium,NowLteDetuned,QTI,0.80654585
Splenium,NowLteDetuned,QTI,0.83474845
Splenium,NowLteDetuned,QTI,0.82905626
Splenium,NowLteDetuned,QTI,0.85360694
Splenium,NowLteDetuned,QTI,0.94216555
Splenium,NowLteDetuned,QTI,0.72852147
Splenium,NowLteDetuned,QTI,0.8099559
Splenium,NowLteDetuned,QTI,0.8073251
Splenium,NowLteDetuned,QTI,0.80988735
Splenium,NowLteDetuned,QTI,0.81185323
Splenium,NowLteDetuned,QTI,0.85195905
Splenium,NowLteDetuned,QTI,0.9474114
Splenium,NowLteDetuned,QTI,0.8695385
Splenium,NowLteDetuned,QTI,0.62533087
Splenium,NowLteDetuned,QTI,0.87463605
Splenium,NowLteDetuned,QTI,0.84907013
Splenium,NowLteDetuned,QTI,0.8446752
Splenium,NowLteDetuned,QTI,0.87902606
Splenium,NowLteDetuned,QTI,0.9594661
Splenium,NowLteDetuned,QTI,0.862435
Splenium,NowLteDetuned,QTI,0.6306857
Splenium,NowLteDetuned,QTI,0.93809074
Splenium,NowLteDetuned,QTI,0.9304188
Splenium,NowLteDetuned,QTI,0.93748605
Splenium,NowLteDetuned,QTI,0.9629645
Splenium,NowLteDetuned,QTI,0.8768843
Splenium,NowLteDetuned,QTI,0.72069037
Splenium,NowLteDetuned,QTI,0.954784
Splenium,NowLteDetuned,QTI,0.9597685
Splenium,NowLteDetuned,QTI,0.9598927
Splenium,NowLteDetuned,QTI,0.91009825
Splenium,NowLteDetuned,QTI,0.8318738
Splenium,NowLteDetuned,QTI,0.953249
Splenium,NowLteDetuned,QTI,0.9684001
Splenium,NowLteDetuned,QTI,0.97267216
Splenium,NowLteDetuned,QTI,0.9763168
Splenium,NowLteDetuned,QTI,0.97939014
Splenium,NowLteDetuned,QTI,0.858421
Splenium,NowLteDetuned,QTI,0.8871225
Splenium,NowLteDetuned,QTI,0.9176129
Splenium,NowLteDetuned,QTI,0.9639887
Splenium,NowLteDetuned,QTI,1.0209588
Splenium,NowLteDetuned,QTI,0.7604746
Splenium,NowLteDetuned,QTI,0.81341875
Splenium,NowLteDetuned,QTI,0.87074333
Splenium,NowLteDetuned,QTI,0.9201412
Splenium,NowLteDetuned,QTI,0.7278009
