ROI,Sequence,Approach,MD
Splenium,dti,dti,0.000700498
Splenium,dti,dti,0.00070532935
Splenium,dti,dti,0.0007272378
Splenium,dti,dti,0.0007374622
Splenium,dti,dti,0.0009619843
Splenium,dti,dti,0.0007616803
Splenium,dti,dti,0.00072259933
Splenium,dti,dti,0.00070735277
Splenium,dti,dti,0.00070148037
Splenium,dti,dti,0.00069703266
Splenium,dti,dti,0.00069900876
Splenium,dti,dti,0.00070300885
Splenium,dti,dti,0.00071299373
Splenium,dti,dti,0.0007213691
Splenium,dti,dti,0.00075753627
Splenium,dti,dti,0.0006817677
Splenium,dti,dti,0.0006770805
Splenium,dti,dti,0.00067471666
Splenium,dti,dti,0.0006858377
Splenium,dti,dti,0.0006942775
Splenium,dti,dti,0.0006960888
Splenium,dti,dti,0.000703044
Splenium,dti,dti,0.0008011627
Splenium,dti,dti,0.00061877794
Splenium,dti,dti,0.0006281243
Splenium,dti,dti,0.0006397096
Splenium,dti,dti,0.00066498906
Splenium,dti,dti,0.0006819592
Splenium,dti,dti,0.00067781017
Splenium,dti,dti,0.000683219
Splenium,dti,dti,0.0009660858
Splenium,dti,dti,0.0006765599
Splenium,dti,dti,0.00066387147
Splenium,dti,dti,0.00065507775
Splenium,dti,dti,0.0006596859
Splenium,dti,dti,0.00066460983
Splenium,dti,dti,0.00067008456
Splenium,dti,dti,0.0006799791
Splenium,dti,dti,0.0011898796
Splenium,dti,dti,0.00080562424
Splenium,dti,dti,0.0007475378
Splenium,dti,dti,0.0006958845
Splenium,dti,dti,0.00066121336
Splenium,dti,dti,0.00064290984
Splenium,dti,dti,0.0006655732
Splenium,dti,dti,0.0006831041
Splenium,dti,dti,0.00070537435
Splenium,dti,dti,0.00082707865
Splenium,dti,dti,0.00066150515
Splenium,dti,dti,0.0006542828
Splenium,dti,dti,0.0006542575
Splenium,dti,dti,0.0006737672
Splenium,dti,dti,0.0006850043
Splenium,dti,dti,0.000684125
Splenium,dti,dti,0.00069347944
Splenium,dti,dti,0.00071168115
Splenium,dti,dti,0.0007282462
Splenium,dti,dti,0.00068562484
Splenium,dti,dti,0.00068736065
Splenium,dti,dti,0.0006744298
Splenium,dti,dti,0.00068047637
Splenium,dti,dti,0.0007027963
Splenium,dti,dti,0.0007289938
Splenium,dti,dti,0.000713806
Splenium,dti,dti,0.0007063962
Splenium,dti,dti,0.0007017403
Splenium,dti,dti,0.0006997744
Splenium,dti,dti,0.00070624077
Splenium,dti,dti,0.0007200894
Splenium,dti,dti,0.0007416909
Splenium,dti,dti,0.0008748113
Splenium,dti,dti,0.00077387685
Splenium,dti,dti,0.00073424104
Splenium,dti,dti,0.00071742525
Splenium,dti,dti,0.00072843087
Splenium,dti,dti,0.0007359877
Splenium,dti,dti,0.00074079935
Splenium,dti,dti,0.0007562286
Splenium,dti,dti,0.0010231397
Splenium,dti,dti,0.0008236757
Splenium,dti,dti,0.0007130316
Splenium,dti,dti,0.00071628275
Splenium,dti,dti,0.000726559
Splenium,dti,dti,0.0007420042
Splenium,dti,dti,0.0007517708
Splenium,dti,dti,0.000759092
Splenium,dti,dti,0.00076277554
Splenium,dti,dti,0.0007168882
Splenium,dti,dti,0.00070300594
Splenium,dti,dti,0.0007138343
Splenium,dti,dti,0.00074288575
Splenium,dti,dti,0.0007488186
Splenium,dti,dti,0.0007443303
Splenium,dti,dti,0.0007481695
Splenium,dti,dti,0.0006972374
Splenium,dti,dti,0.0006954049
Splenium,dti,dti,0.0007422417
Splenium,dti,dti,0.00075189717
Splenium,dti,dti,0.00074507884
Splenium,dti,dti,0.0007489716
Splenium,dti,dti,0.00068030343
Splenium,dti,dti,0.0007350468
Splenium,dti,dti,0.00074700563
Splenium,dti,dti,0.0007403362
Splenium,dti,dti,0.000745756
Splenium,dti,dti,0.00067657477
Splenium,dti,dti,0.0007144276
Splenium,dti,dti,0.00072562916
Splenium,dti,dti,0.00072572805
Splenium,dti,dti,0.00073543086
Splenium,dti,dti,0.0006784088
Splenium,dti,dti,0.0007076833
Splenium,dti,dti,0.0007133901
Splenium,dti,dti,0.0007098783
Splenium,dti,dti,0.0007228806
Splenium,dti,dti,0.00071774545
Splenium,dti,dti,0.00071210886
Splenium,dti,dti,0.00069065974
Splenium,dti,dti,0.0007035529
