ROI,Sequence,Approach,FA
Splenium,NowLteDetuned,QTI,0.55429995
Splenium,NowLteDetuned,QTI,0.42104146
Splenium,NowLteDetuned,QTI,0.52832204
Splenium,NowLteDetuned,QTI,0.31245556
Splenium,NowLteDetuned,QTI,0.43102032
Splenium,NowLteDetuned,QTI,0.5458673
Splenium,NowLteDetuned,QTI,0.6686785
Splenium,NowLteDetuned,QTI,0.7652559
Splenium,NowLteDetuned,QTI,0.7960672
Splenium,NowLteDetuned,QTI,0.33398485
Splenium,NowLteDetuned,QTI,0.49038386
Splenium,NowLteDetuned,QTI,0.62041783
Splenium,NowLteDetuned,QTI,0.6950814
Splenium,NowLteDetuned,QTI,0.7625441
Splenium,NowLteDetuned,QTI,0.80610883
Splenium,NowLteDetuned,QTI,0.8186357
Splenium,NowLteDetuned,QTI,0.27632728
Splenium,NowLteDetuned,QTI,0.39849386
Splenium,NowLteDetuned,QTI,0.5462324
Splenium,NowLteDetuned,QTI,0.66406417
Splenium,NowLteDetuned,QTI,0.7113182
Splenium,NowLteDetuned,QTI,0.7609116
Splenium,NowLteDetuned,QTI,0.8098952
Splenium,NowLteDetuned,QTI,0.8331493
Splenium,NowLteDetuned,QTI,0.8410837
Splenium,NowLteDetuned,QTI,0.1738128
Splenium,NowLteDetuned,QTI,0.34104764
Splenium,NowLteDetuned,QTI,0.4801545
Splenium,NowLteDetuned,QTI,0.60080624
Splenium,NowLteDetuned,QTI,0.6921244
Splenium,NowLteDetuned,QTI,0.73860025
Splenium,NowLteDetuned,QTI,0.77429026
Splenium,NowLteDetuned,QTI,0.8010083
Splenium,NowLteDetuned,QTI,0.82612604
Splenium,NowLteDetuned,QTI,0.8507913
Splenium,NowLteDetuned,QTI,0.80070466
Splenium,NowLteDetuned,QTI,0.7283846
Splenium,NowLteDetuned,QTI,0.19171807
Splenium,NowLteDetuned,QTI,0.23874146
Splenium,NowLteDetuned,QTI,0.42171904
Splenium,NowLteDetuned,QTI,0.5589477
Splenium,NowLteDetuned,QTI,0.6560703
Splenium,NowLteDetuned,QTI,0.7334218
Splenium,NowLteDetuned,QTI,0.78520614
Splenium,NowLteDetuned,QTI,0.79835796
Splenium,NowLteDetuned,QTI,0.7891701
Splenium,NowLteDetuned,QTI,0.81635106
Splenium,NowLteDetuned,QTI,0.85564446
Splenium,NowLteDetuned,QTI,0.80785644
Splenium,NowLteDetuned,QTI,0.746485
Splenium,NowLteDetuned,QTI,0.641244
Splenium,NowLteDetuned,QTI,0.21913719
Splenium,NowLteDetuned,QTI,0.30834836
Splenium,NowLteDetuned,QTI,0.50266886
Splenium,NowLteDetuned,QTI,0.6244984
Splenium,NowLteDetuned,QTI,0.6947146
Splenium,NowLteDetuned,QTI,0.7649782
Splenium,NowLteDetuned,QTI,0.8268666
Splenium,NowLteDetuned,QTI,0.8210379
Splenium,NowLteDetuned,QTI,0.77303696
Splenium,NowLteDetuned,QTI,0.8001794
Splenium,NowLteDetuned,QTI,0.8449769
Splenium,NowLteDetuned,QTI,0.78472763
Splenium,NowLteDetuned,QTI,0.7199864
Splenium,NowLteDetuned,QTI,0.6266058
Splenium,NowLteDetuned,QTI,0.6437881
Splenium,NowLteDetuned,QTI,0.7022939
Splenium,NowLteDetuned,QTI,0.74994844
Splenium,NowLteDetuned,QTI,0.76358974
Splenium,NowLteDetuned,QTI,0.7443089
Splenium,NowLteDetuned,QTI,0.7814863
Splenium,NowLteDetuned,QTI,0.8200836
Splenium,NowLteDetuned,QTI,0.7496153
Splenium,NowLteDetuned,QTI,0.6832317
Splenium,NowLteDetuned,QTI,0.60621375
Splenium,NowLteDetuned,QTI,0.53617746
Splenium,NowLteDetuned,QTI,0.5990569
Splenium,NowLteDetuned,QTI,0.610058
Splenium,NowLteDetuned,QTI,0.6652894
Splenium,NowLteDetuned,QTI,0.71301895
Splenium,NowLteDetuned,QTI,0.74034536
Splenium,NowLteDetuned,QTI,0.7532604
Splenium,NowLteDetuned,QTI,0.6838995
Splenium,NowLteDetuned,QTI,0.6226543
Splenium,NowLteDetuned,QTI,0.5735232
Splenium,NowLteDetuned,QTI,0.5253485
Splenium,NowLteDetuned,QTI,0.488852
Splenium,NowLteDetuned,QTI,0.45289534
Splenium,NowLteDetuned,QTI,0.5315507
Splenium,NowLteDetuned,QTI,0.62888503
Splenium,NowLteDetuned,QTI,0.6890397
Splenium,NowLteDetuned,QTI,0.7154434
Splenium,NowLteDetuned,QTI,0.65664
Splenium,NowLteDetuned,QTI,0.5992156
Splenium,NowLteDetuned,QTI,0.5588073
Splenium,NowLteDetuned,QTI,0.52067417
Splenium,NowLteDetuned,QTI,0.48664796
Splenium,NowLteDetuned,QTI,0.4511736
Splenium,NowLteDetuned,QTI,0.64069474
Splenium,NowLteDetuned,QTI,0.7196959
Splenium,NowLteDetuned,QTI,0.698236
Splenium,NowLteDetuned,QTI,0.6504211
Splenium,NowLteDetuned,QTI,0.5806956
Splenium,NowLteDetuned,QTI,0.5284416
Splenium,NowLteDetuned,QTI,0.49193752
Splenium,NowLteDetuned,QTI,0.47985408
Splenium,NowLteDetuned,QTI,0.59751874
Splenium,NowLteDetuned,QTI,0.7209359
Splenium,NowLteDetuned,QTI,0.7225979
Splenium,NowLteDetuned,QTI,0.67916423
Splenium,NowLteDetuned,QTI,0.5904054
Splenium,NowLteDetuned,QTI,0.5337858
Splenium,NowLteDetuned,QTI,0.5001523
Splenium,NowLteDetuned,QTI,0.5145775
Splenium,NowLteDetuned,QTI,0.55784005
Splenium,NowLteDetuned,QTI,0.70963305
Splenium,NowLteDetuned,QTI,0.71899396
Splenium,NowLteDetuned,QTI,0.6715468
Splenium,NowLteDetuned,QTI,0.58009857
Splenium,NowLteDetuned,QTI,0.5337653
Splenium,NowLteDetuned,QTI,0.5156332
Splenium,NowLteDetuned,QTI,0.53711635
Splenium,NowLteDetuned,QTI,0.4234693
Splenium,NowLteDetuned,QTI,0.581938
Splenium,NowLteDetuned,QTI,0.66670024
Splenium,NowLteDetuned,QTI,0.6549212
Splenium,NowLteDetuned,QTI,0.58110094
Splenium,NowLteDetuned,QTI,0.54712784
Splenium,NowLteDetuned,QTI,0.53762645
Splenium,NowLteDetuned,QTI,0.5637143
Splenium,NowLteDetuned,QTI,0.59163094
Splenium,NowLteDetuned,QTI,0.601369
Splenium,NowLteDetuned,QTI,0.6398057
Splenium,NowLteDetuned,QTI,0.60429245
Splenium,NowLteDetuned,QTI,0.5826372
Splenium,NowLteDetuned,QTI,0.57509655
Splenium,NowLteDetuned,QTI,0.6019969
Splenium,NowLteDetuned,QTI,0.62937194
Splenium,NowLteDetuned,QTI,0.6155767
Splenium,NowLteDetuned,QTI,0.580659
Splenium,NowLteDetuned,QTI,0.38540736
Splenium,NowLteDetuned,QTI,0.60105544
Splenium,NowLteDetuned,QTI,0.62657243
Splenium,NowLteDetuned,QTI,0.6475117
Splenium,NowLteDetuned,QTI,0.6307052
Splenium,NowLteDetuned,QTI,0.58191675
Splenium,NowLteDetuned,QTI,0.39927745
Splenium,NowLteDetuned,QTI,0.6657748
Splenium,NowLteDetuned,QTI,0.61684966
Splenium,NowLteDetuned,QTI,0.6368741
Splenium,NowLteDetuned,QTI,0.64831144
Splenium,NowLteDetuned,QTI,0.63226277
Splenium,NowLteDetuned,QTI,0.5833188
Splenium,NowLteDetuned,QTI,0.43941063
Splenium,NowLteDetuned,QTI,0.55396324
Splenium,NowLteDetuned,QTI,0.5716643
Splenium,NowLteDetuned,QTI,0.58070123
Splenium,NowLteDetuned,QTI,0.62757736
Splenium,NowLteDetuned,QTI,0.65053374
Splenium,NowLteDetuned,QTI,0.6313767
