ROI,Sequence,Approach,MKi
Splenium,NowLteDetuned,QTI,0.059916977
Splenium,NowLteDetuned,QTI,0.05386699
Splenium,NowLteDetuned,QTI,0.09595525
Splenium,NowLteDetuned,QTI,0.036153074
Splenium,NowLteDetuned,QTI,0.051814802
Splenium,NowLteDetuned,QTI,0.06313407
Splenium,NowLteDetuned,QTI,0.07523713
Splenium,NowLteDetuned,QTI,0.07394051
Splenium,NowLteDetuned,QTI,0.06806083
Splenium,NowLteDetuned,QTI,0.06658108
Splenium,NowLteDetuned,QTI,0.07164332
Splenium,NowLteDetuned,QTI,0.06532663
Splenium,NowLteDetuned,QTI,0.05576241
Splenium,NowLteDetuned,QTI,0.029680599
Splenium,NowLteDetuned,QTI,0.10082616
Splenium,NowLteDetuned,QTI,0.09606334
Splenium,NowLteDetuned,QTI,0.09002217
Splenium,NowLteDetuned,QTI,0.06962925
Splenium,NowLteDetuned,QTI,0.05402862
Splenium,NowLteDetuned,QTI,0.05237736
Splenium,NowLteDetuned,QTI,0.04794889
Splenium,NowLteDetuned,QTI,0.03866269
Splenium,NowLteDetuned,QTI,0.112932466
Splenium,NowLteDetuned,QTI,0.07304753
Splenium,NowLteDetuned,QTI,0.040835593
Splenium,NowLteDetuned,QTI,0.044278458
Splenium,NowLteDetuned,QTI,0.045660775
Splenium,NowLteDetuned,QTI,0.049770243
Splenium,NowLteDetuned,QTI,0.14053814
Splenium,NowLteDetuned,QTI,0.13099502
Splenium,NowLteDetuned,QTI,0.07623268
Splenium,NowLteDetuned,QTI,0.036013402
Splenium,NowLteDetuned,QTI,0.041485526
Splenium,NowLteDetuned,QTI,0.043137085
Splenium,NowLteDetuned,QTI,0.041040555
Splenium,NowLteDetuned,QTI,0.08002909
Splenium,NowLteDetuned,QTI,0.033437558
Splenium,NowLteDetuned,QTI,0.041036397
Splenium,NowLteDetuned,QTI,0.042796902
Splenium,NowLteDetuned,QTI,0.036804494
Splenium,NowLteDetuned,QTI,0.17717789
Splenium,NowLteDetuned,QTI,0.083136685
Splenium,NowLteDetuned,QTI,0.035396002
Splenium,NowLteDetuned,QTI,0.046891388
Splenium,NowLteDetuned,QTI,0.05421934
Splenium,NowLteDetuned,QTI,0.058717757
Splenium,NowLteDetuned,QTI,0.101203874
