ROI,Sequence,Approach,FA
Splenium,dti,dti,0.53122175
Splenium,dti,dti,0.5120055
Splenium,dti,dti,0.5312207
Splenium,dti,dti,0.51014173
Splenium,dti,dti,0.5362926
Splenium,dti,dti,0.35837317
Splenium,dti,dti,0.4809203
Splenium,dti,dti,0.25578925
Splenium,dti,dti,0.3837484
Splenium,dti,dti,0.50723696
Splenium,dti,dti,0.6271611
Splenium,dti,dti,0.7163736
Splenium,dti,dti,0.7935213
Splenium,dti,dti,0.31894186
Splenium,dti,dti,0.4274026
Splenium,dti,dti,0.54762393
Splenium,dti,dti,0.677119
Splenium,dti,dti,0.7526051
Splenium,dti,dti,0.8066676
Splenium,dti,dti,0.8167493
Splenium,dti,dti,0.32815394
Splenium,dti,dti,0.4425164
Splenium,dti,dti,0.5505807
Splenium,dti,dti,0.64810836
Splenium,dti,dti,0.74017596
Splenium,dti,dti,0.78387034
Splenium,dti,dti,0.80873615
Splenium,dti,dti,0.81922364
Splenium,dti,dti,0.8269071
Splenium,dti,dti,0.23152724
Splenium,dti,dti,0.41122568
Splenium,dti,dti,0.55574596
Splenium,dti,dti,0.6616896
Splenium,dti,dti,0.734529
Splenium,dti,dti,0.78720593
Splenium,dti,dti,0.8024983
Splenium,dti,dti,0.80323637
Splenium,dti,dti,0.8152675
Splenium,dti,dti,0.8291484
Splenium,dti,dti,0.8032517
Splenium,dti,dti,0.7692755
Splenium,dti,dti,0.16074103
Splenium,dti,dti,0.2785172
Splenium,dti,dti,0.49238187
Splenium,dti,dti,0.6436381
Splenium,dti,dti,0.72907037
Splenium,dti,dti,0.7705627
Splenium,dti,dti,0.7845067
Splenium,dti,dti,0.7833899
Splenium,dti,dti,0.77581465
Splenium,dti,dti,0.7917059
Splenium,dti,dti,0.81132483
Splenium,dti,dti,0.79976505
Splenium,dti,dti,0.78119
Splenium,dti,dti,0.70426345
Splenium,dti,dti,0.20902163
Splenium,dti,dti,0.3458263
Splenium,dti,dti,0.56598294
Splenium,dti,dti,0.7087822
Splenium,dti,dti,0.77178305
Splenium,dti,dti,0.7910307
Splenium,dti,dti,0.7825173
Splenium,dti,dti,0.77204573
Splenium,dti,dti,0.75942636
Splenium,dti,dti,0.77488357
Splenium,dti,dti,0.79481155
Splenium,dti,dti,0.785371
Splenium,dti,dti,0.7707704
Splenium,dti,dti,0.7116781
Splenium,dti,dti,0.72803885
Splenium,dti,dti,0.7883247
Splenium,dti,dti,0.78491616
Splenium,dti,dti,0.7761551
Splenium,dti,dti,0.76326704
Splenium,dti,dti,0.7688469
Splenium,dti,dti,0.7774397
Splenium,dti,dti,0.7507813
Splenium,dti,dti,0.7215342
Splenium,dti,dti,0.6714303
Splenium,dti,dti,0.6134051
Splenium,dti,dti,0.7226054
Splenium,dti,dti,0.7383082
Splenium,dti,dti,0.747688
Splenium,dti,dti,0.7522501
Splenium,dti,dti,0.75070643
Splenium,dti,dti,0.748038
Splenium,dti,dti,0.71862864
Splenium,dti,dti,0.68815213
Splenium,dti,dti,0.65034515
Splenium,dti,dti,0.6057871
Splenium,dti,dti,0.5418099
Splenium,dti,dti,0.48109365
Splenium,dti,dti,0.6878313
Splenium,dti,dti,0.7217855
